Model (Reference: Salient Climatology),Average Temperature Anomaly (degC),Density
Salient Climatology,-5.1,0.002
Salient Climatology,-5.06,0.002
Salient Climatology,-5.02,0.002
Salient Climatology,-4.98,0.002
Salient Climatology,-4.95,0.002
Salient Climatology,-4.91,0.003
Salient Climatology,-4.87,0.003
Salient Climatology,-4.83,0.003
Salient Climatology,-4.8,0.004
Salient Climatology,-4.76,0.004
Salient Climatology,-4.72,0.004
Salient Climatology,-4.68,0.005
Salient Climatology,-4.65,0.005
Salient Climatology,-4.61,0.005
Salient Climatology,-4.57,0.006
Salient Climatology,-4.53,0.006
Salient Climatology,-4.49,0.007
Salient Climatology,-4.46,0.007
Salient Climatology,-4.42,0.008
Salient Climatology,-4.38,0.009
Salient Climatology,-4.34,0.009
Salient Climatology,-4.31,0.01
Salient Climatology,-4.27,0.011
Salient Climatology,-4.23,0.012
Salient Climatology,-4.19,0.012
Salient Climatology,-4.16,0.013
Salient Climatology,-4.12,0.014
Salient Climatology,-4.08,0.015
Salient Climatology,-4.04,0.016
Salient Climatology,-4.0,0.017
Salient Climatology,-3.97,0.018
Salient Climatology,-3.93,0.019
Salient Climatology,-3.89,0.02
Salient Climatology,-3.85,0.022
Salient Climatology,-3.82,0.023
Salient Climatology,-3.78,0.024
Salient Climatology,-3.74,0.025
Salient Climatology,-3.7,0.027
Salient Climatology,-3.67,0.028
Salient Climatology,-3.63,0.03
Salient Climatology,-3.59,0.031
Salient Climatology,-3.55,0.033
Salient Climatology,-3.51,0.034
Salient Climatology,-3.48,0.036
Salient Climatology,-3.44,0.038
Salient Climatology,-3.4,0.04
Salient Climatology,-3.36,0.041
Salient Climatology,-3.33,0.043
Salient Climatology,-3.29,0.045
Salient Climatology,-3.25,0.047
Salient Climatology,-3.21,0.049
Salient Climatology,-3.18,0.051
Salient Climatology,-3.14,0.053
Salient Climatology,-3.1,0.055
Salient Climatology,-3.06,0.057
Salient Climatology,-3.03,0.059
Salient Climatology,-2.99,0.061
Salient Climatology,-2.95,0.064
Salient Climatology,-2.91,0.066
Salient Climatology,-2.87,0.068
Salient Climatology,-2.84,0.071
Salient Climatology,-2.8,0.073
Salient Climatology,-2.76,0.075
Salient Climatology,-2.72,0.078
Salient Climatology,-2.69,0.08
Salient Climatology,-2.65,0.083
Salient Climatology,-2.61,0.085
Salient Climatology,-2.57,0.088
Salient Climatology,-2.54,0.09
Salient Climatology,-2.5,0.093
Salient Climatology,-2.46,0.096
Salient Climatology,-2.42,0.098
Salient Climatology,-2.38,0.101
Salient Climatology,-2.35,0.104
Salient Climatology,-2.31,0.106
Salient Climatology,-2.27,0.109
Salient Climatology,-2.23,0.112
Salient Climatology,-2.2,0.114
Salient Climatology,-2.16,0.117
Salient Climatology,-2.12,0.12
Salient Climatology,-2.08,0.123
Salient Climatology,-2.05,0.125
Salient Climatology,-2.01,0.128
Salient Climatology,-1.97,0.131
Salient Climatology,-1.93,0.134
Salient Climatology,-1.89,0.136
Salient Climatology,-1.86,0.139
Salient Climatology,-1.82,0.142
Salient Climatology,-1.78,0.144
Salient Climatology,-1.74,0.147
Salient Climatology,-1.71,0.15
Salient Climatology,-1.67,0.152
Salient Climatology,-1.63,0.155
Salient Climatology,-1.59,0.157
Salient Climatology,-1.56,0.16
Salient Climatology,-1.52,0.162
Salient Climatology,-1.48,0.164
Salient Climatology,-1.44,0.167
Salient Climatology,-1.41,0.169
Salient Climatology,-1.37,0.171
Salient Climatology,-1.33,0.173
Salient Climatology,-1.29,0.175
Salient Climatology,-1.25,0.177
Salient Climatology,-1.22,0.179
Salient Climatology,-1.18,0.181
Salient Climatology,-1.14,0.183
Salient Climatology,-1.1,0.185
Salient Climatology,-1.07,0.186
Salient Climatology,-1.03,0.188
Salient Climatology,-0.99,0.189
Salient Climatology,-0.95,0.191
Salient Climatology,-0.92,0.192
Salient Climatology,-0.88,0.193
Salient Climatology,-0.84,0.194
Salient Climatology,-0.8,0.195
Salient Climatology,-0.76,0.196
Salient Climatology,-0.73,0.197
Salient Climatology,-0.69,0.198
Salient Climatology,-0.65,0.199
Salient Climatology,-0.61,0.199
Salient Climatology,-0.58,0.2
Salient Climatology,-0.54,0.2
Salient Climatology,-0.5,0.2
Salient Climatology,-0.46,0.201
Salient Climatology,-0.43,0.201
Salient Climatology,-0.39,0.201
Salient Climatology,-0.35,0.201
Salient Climatology,-0.31,0.201
Salient Climatology,-0.27,0.2
Salient Climatology,-0.24,0.2
Salient Climatology,-0.2,0.2
Salient Climatology,-0.16,0.199
Salient Climatology,-0.12,0.199
Salient Climatology,-0.09,0.198
Salient Climatology,-0.05,0.197
Salient Climatology,-0.01,0.196
Salient Climatology,0.03,0.196
Salient Climatology,0.06,0.195
Salient Climatology,0.1,0.194
Salient Climatology,0.14,0.192
Salient Climatology,0.18,0.191
Salient Climatology,0.21,0.19
Salient Climatology,0.25,0.189
Salient Climatology,0.29,0.188
Salient Climatology,0.33,0.186
Salient Climatology,0.37,0.185
Salient Climatology,0.4,0.183
Salient Climatology,0.44,0.182
Salient Climatology,0.48,0.18
Salient Climatology,0.52,0.179
Salient Climatology,0.55,0.177
Salient Climatology,0.59,0.176
Salient Climatology,0.63,0.174
Salient Climatology,0.67,0.172
Salient Climatology,0.7,0.171
Salient Climatology,0.74,0.169
Salient Climatology,0.78,0.167
Salient Climatology,0.82,0.165
Salient Climatology,0.86,0.164
Salient Climatology,0.89,0.162
Salient Climatology,0.93,0.16
Salient Climatology,0.97,0.159
Salient Climatology,1.01,0.157
Salient Climatology,1.04,0.155
Salient Climatology,1.08,0.154
Salient Climatology,1.12,0.152
Salient Climatology,1.16,0.15
Salient Climatology,1.19,0.149
Salient Climatology,1.23,0.147
Salient Climatology,1.27,0.145
Salient Climatology,1.31,0.144
Salient Climatology,1.35,0.142
Salient Climatology,1.38,0.141
Salient Climatology,1.42,0.139
Salient Climatology,1.46,0.138
Salient Climatology,1.5,0.136
Salient Climatology,1.53,0.135
Salient Climatology,1.57,0.133
Salient Climatology,1.61,0.132
Salient Climatology,1.65,0.13
Salient Climatology,1.68,0.129
Salient Climatology,1.72,0.128
Salient Climatology,1.76,0.126
Salient Climatology,1.8,0.125
Salient Climatology,1.83,0.124
Salient Climatology,1.87,0.122
Salient Climatology,1.91,0.121
Salient Climatology,1.95,0.12
Salient Climatology,1.99,0.118
Salient Climatology,2.02,0.117
Salient Climatology,2.06,0.116
Salient Climatology,2.1,0.114
Salient Climatology,2.14,0.113
Salient Climatology,2.17,0.112
Salient Climatology,2.21,0.11
Salient Climatology,2.25,0.109
Salient Climatology,2.29,0.108
Salient Climatology,2.32,0.106
Salient Climatology,2.36,0.105
Salient Climatology,2.4,0.104
Salient Climatology,2.44,0.102
Salient Climatology,2.48,0.101
Salient Climatology,2.51,0.1
Salient Climatology,2.55,0.098
Salient Climatology,2.59,0.097
Salient Climatology,2.63,0.095
Salient Climatology,2.66,0.094
Salient Climatology,2.7,0.093
Salient Climatology,2.74,0.091
Salient Climatology,2.78,0.09
Salient Climatology,2.81,0.088
Salient Climatology,2.85,0.087
Salient Climatology,2.89,0.085
Salient Climatology,2.93,0.084
Salient Climatology,2.97,0.082
Salient Climatology,3.0,0.08
Salient Climatology,3.04,0.079
Salient Climatology,3.08,0.077
Salient Climatology,3.12,0.076
Salient Climatology,3.15,0.074
Salient Climatology,3.19,0.073
Salient Climatology,3.23,0.071
Salient Climatology,3.27,0.069
Salient Climatology,3.3,0.068
Salient Climatology,3.34,0.066
Salient Climatology,3.38,0.064
Salient Climatology,3.42,0.063
Salient Climatology,3.45,0.061
Salient Climatology,3.49,0.06
Salient Climatology,3.53,0.058
Salient Climatology,3.57,0.056
Salient Climatology,3.61,0.055
Salient Climatology,3.64,0.053
Salient Climatology,3.68,0.052
Salient Climatology,3.72,0.05
Salient Climatology,3.76,0.048
Salient Climatology,3.79,0.047
Salient Climatology,3.83,0.045
Salient Climatology,3.87,0.044
Salient Climatology,3.91,0.042
Salient Climatology,3.94,0.041
Salient Climatology,3.98,0.039
Salient Climatology,4.02,0.038
Salient Climatology,4.06,0.037
Salient Climatology,4.1,0.035
Salient Climatology,4.13,0.034
Salient Climatology,4.17,0.032
Salient Climatology,4.21,0.031
Salient Climatology,4.25,0.03
Salient Climatology,4.28,0.029
Salient Climatology,4.32,0.027
Salient Climatology,4.36,0.026
Salient Climatology,4.4,0.025
Salient Climatology,4.43,0.024
Salient Climatology,4.47,0.023
Salient Climatology,4.51,0.022
Salient Climatology,4.55,0.021
Salient Climatology,4.59,0.019
Salient Climatology,4.62,0.018
Salient Climatology,4.66,0.018
Salient Climatology,4.7,0.017
Salient Climatology,4.74,0.016
Salient Climatology,4.77,0.015
Salient Climatology,4.81,0.014
Salient Climatology,4.85,0.013
Salient Climatology,4.89,0.012
Salient Climatology,4.92,0.012
Salient Climatology,4.96,0.011
Salient Climatology,5.0,0.01
Salient Climatology,5.04,0.01
Salient Climatology,5.07,0.009
Salient Climatology,5.11,0.008
Salient Climatology,5.15,0.008
Salient Climatology,5.19,0.007
Salient Climatology,5.23,0.007
Salient Climatology,5.26,0.006
Salient Climatology,5.3,0.006
Salient Climatology,5.34,0.006
Salient Climatology,5.38,0.005
Salient Climatology,5.41,0.005
Salient Climatology,5.45,0.004
Salient Climatology,5.49,0.004
Salient Climatology,5.53,0.004
Salient Climatology,5.56,0.003
Salient Climatology,5.6,0.003
Salient Climatology,5.64,0.003
Salient Climatology,5.68,0.003
Salient Climatology,5.72,0.002
Salient Climatology,5.75,0.002
Salient Climatology,5.79,0.002
Salient Climatology,5.83,0.002
Salient Climatology,5.87,0.002
Salient Climatology,5.9,0.002
Salient v8,-3.6,0.002
Salient v8,-3.56,0.002
Salient v8,-3.52,0.002
Salient v8,-3.49,0.002
Salient v8,-3.45,0.003
Salient v8,-3.42,0.003
Salient v8,-3.38,0.003
Salient v8,-3.34,0.003
Salient v8,-3.31,0.004
Salient v8,-3.27,0.004
Salient v8,-3.23,0.005
Salient v8,-3.2,0.005
Salient v8,-3.16,0.006
Salient v8,-3.13,0.006
Salient v8,-3.09,0.007
Salient v8,-3.05,0.007
Salient v8,-3.02,0.008
Salient v8,-2.98,0.009
Salient v8,-2.94,0.009
Salient v8,-2.91,0.01
Salient v8,-2.87,0.011
Salient v8,-2.84,0.012
Salient v8,-2.8,0.013
Salient v8,-2.76,0.014
Salient v8,-2.73,0.015
Salient v8,-2.69,0.016
Salient v8,-2.65,0.017
Salient v8,-2.62,0.018
Salient v8,-2.58,0.019
Salient v8,-2.55,0.02
Salient v8,-2.51,0.021
Salient v8,-2.47,0.023
Salient v8,-2.44,0.024
Salient v8,-2.4,0.025
Salient v8,-2.36,0.027
Salient v8,-2.33,0.028
Salient v8,-2.29,0.03
Salient v8,-2.26,0.031
Salient v8,-2.22,0.033
Salient v8,-2.18,0.034
Salient v8,-2.15,0.036
Salient v8,-2.11,0.038
Salient v8,-2.07,0.04
Salient v8,-2.04,0.042
Salient v8,-2.0,0.043
Salient v8,-1.97,0.045
Salient v8,-1.93,0.047
Salient v8,-1.89,0.049
Salient v8,-1.86,0.051
Salient v8,-1.82,0.054
Salient v8,-1.78,0.056
Salient v8,-1.75,0.058
Salient v8,-1.71,0.06
Salient v8,-1.68,0.063
Salient v8,-1.64,0.065
Salient v8,-1.6,0.068
Salient v8,-1.57,0.07
Salient v8,-1.53,0.073
Salient v8,-1.49,0.075
Salient v8,-1.46,0.078
Salient v8,-1.42,0.08
Salient v8,-1.39,0.083
Salient v8,-1.35,0.086
Salient v8,-1.31,0.089
Salient v8,-1.28,0.091
Salient v8,-1.24,0.094
Salient v8,-1.2,0.097
Salient v8,-1.17,0.1
Salient v8,-1.13,0.103
Salient v8,-1.1,0.106
Salient v8,-1.06,0.109
Salient v8,-1.02,0.112
Salient v8,-0.99,0.115
Salient v8,-0.95,0.118
Salient v8,-0.91,0.121
Salient v8,-0.88,0.124
Salient v8,-0.84,0.127
Salient v8,-0.81,0.131
Salient v8,-0.77,0.134
Salient v8,-0.73,0.137
Salient v8,-0.7,0.14
Salient v8,-0.66,0.143
Salient v8,-0.62,0.146
Salient v8,-0.59,0.15
Salient v8,-0.55,0.153
Salient v8,-0.52,0.156
Salient v8,-0.48,0.159
Salient v8,-0.44,0.162
Salient v8,-0.41,0.166
Salient v8,-0.37,0.169
Salient v8,-0.33,0.172
Salient v8,-0.3,0.175
Salient v8,-0.26,0.178
Salient v8,-0.23,0.181
Salient v8,-0.19,0.185
Salient v8,-0.15,0.188
Salient v8,-0.12,0.191
Salient v8,-0.08,0.194
Salient v8,-0.04,0.197
